date,amount_raw,amount,currency,operation,merchant,details,bank,source_file
2024-11-29,"+ 1 000,00 KZT",1000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 460,00 KZT",-460.0,KZT,Purchases,NU,NU,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"+ 500,00 KZT",500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Пригород. Оплата проезда по QR,Avtobys. Пригород. Оплата проезда по QR,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"+ 110,00 KZT",110.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 19 990,00 KZT",-19990.0,KZT,Transfers,,Насихат Ж.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"+ 20 000,00 KZT",20000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Пригород. Оплата проезда по QR,Avtobys. Пригород. Оплата проезда по QR,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"+ 110,00 KZT",110.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 2 000,00 KZT",-2000.0,KZT,Purchases,Терапия Кожи,Терапия Кожи,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"+ 2 000,00 KZT",2000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 50 000,00 KZT",-50000.0,KZT,Purchases,Терапия Кожи,Терапия Кожи,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"+ 50 000,00 KZT",50000.0,KZT,Replenishment,,Анар К.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Пригород. Оплата проезда по QR,Avtobys. Пригород. Оплата проезда по QR,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"+ 110,00 KZT",110.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
